City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Minna,9.6139,6.5569,79.65,66,100,5.39,NG,1650939128
Jalu,29.0331,21.5482,73.49,20,100,9.44,LY,1650939039
Rikitea,-23.1203,-134.9692,75.94,74,96,19.35,PF,1650939129
Acaraú,-2.8856,-40.12,77.74,86,49,10.42,BR,1650939129
Port Elizabeth,-33.918,25.5701,57.31,82,0,7,ZA,1650939130
Bluff,-46.6,168.3333,52.81,82,100,24.74,NZ,1650939130
Hobart,-42.8794,147.3294,62.22,71,40,4.61,AU,1650939131
Tres Arroyos,-38.3739,-60.2798,54.12,29,35,5.77,AR,1650939131
Albany,42.6001,-73.9662,56.55,43,95,1.99,US,1650939131
Makakilo City,21.3469,-158.0858,79.12,61,75,14.97,US,1650939132
Pringsewu,-5.3582,104.9744,82.18,76,100,1.14,ID,1650939132
Taltal,-25.4,-70.4833,62.55,86,32,4.14,CL,1650939133
Nhulunbuy,-12.2333,136.7667,90.21,58,75,9.22,AU,1650939036
Lebu,-37.6167,-73.65,55.67,80,100,27.94,CL,1650939133
Ushuaia,-54.8,-68.3,40.66,70,40,16.11,AR,1650939013
Alice Springs,-23.7,133.8833,72.95,53,60,6.91,AU,1650939133
Itarema,-2.9248,-39.9167,77.49,87,85,8.9,BR,1650939114
Punta Arenas,-53.15,-70.9167,33.91,75,20,6.91,CL,1650939006
Arrondissement de Bourges,47.25,2.4167,49.59,88,98,4.23,FR,1650939134
Dikson,73.5069,80.5464,11.62,93,100,4,RU,1650938880
Smithers,54.7804,-127.1743,46.72,61,75,0,CA,1650938917
Katobu,-4.9408,122.5276,86.58,62,92,2.98,ID,1650939135
Grindavik,63.8424,-22.4338,43.27,87,100,3.44,IS,1650939135
Anadyr,64.75,177.4833,30.7,80,40,26.84,RU,1650939135
Alyangula,-13.8483,136.4192,85.19,67,65,6.51,AU,1650939136
El Alto,-4.2714,-81.2147,66.85,84,80,14.92,PE,1650939137
Tytuvėnai,55.6,23.2,37.31,92,87,6.15,LT,1650939137
Ambon City,-3.6954,128.1814,95.14,59,40,4.61,ID,1650939137
Port Hardy,50.6996,-127.4199,46.26,73,48,6.76,CA,1650938937
Mulchén,-37.7167,-72.2333,52.84,81,100,11.9,CL,1650939138
Saldanha,-33.0117,17.9442,55.51,77,99,10.36,ZA,1650939138
Jamestown,42.097,-79.2353,58.01,78,100,9.22,US,1650939138
Yulara,-25.2406,130.9889,76.84,44,56,6.91,AU,1650939139
Kapaa,22.0752,-159.319,80.58,89,40,17.27,US,1650939139
Narsaq,60.9167,-46.05,37.62,90,98,1.52,GL,1650939124
Paamiut,61.994,-49.6678,28.96,89,100,2.35,GL,1650939139
Busselton,-33.65,115.3333,66.74,51,72,15.19,AU,1650938886
Port Alfred,-33.5906,26.891,57.38,81,5,11.63,ZA,1650939140
Oshawa,43.9001,-78.8496,53.69,89,100,4.61,CA,1650938844
Katsuura,35.1333,140.3,69.82,85,100,15.9,JP,1650939140
Hambantota,6.1241,81.1185,81,82,17,4.09,LK,1650939055
College,64.8569,-147.8028,52.12,36,75,4.61,US,1650938965
Palm Coast,29.585,-81.2078,75,83,0,13,US,1650939062
Chokurdakh,70.6333,147.9167,13.75,87,21,3.27,RU,1650938882
Kitale,1.0157,35.0062,58.42,97,100,4.23,KE,1650939141
Tiksi,71.6872,128.8694,6.89,89,63,1.79,RU,1650938979
Edd,13.9297,41.6925,87.22,60,29,9.13,ER,1650939141
Nanga Eboko,4.6833,12.3667,69.57,99,100,0.94,CM,1650939141
Ancud,-41.8697,-73.8203,49.23,81,100,23.6,CL,1650939142
Airai,-8.9266,125.4092,73.62,41,98,1.99,TL,1650939142
Rawson,-43.3002,-65.1023,57.38,36,90,31.43,AR,1650939051
Vanavara,60.34,102.2797,32.63,67,90,6.06,RU,1650939142
Cayenne,4.9333,-52.3333,78.1,1,75,0,GF,1650939136
Salinópolis,-0.6136,-47.3561,78.53,88,95,9.57,BR,1650939143
Saryg-Sep,51.5,95.6,37.17,28,100,2.75,RU,1650939143
Bam,29.106,58.357,77.81,24,62,7.58,IR,1650939143
Cabra,37.4725,-4.4421,54.48,73,100,3.18,ES,1650939144
Boende,-0.2167,20.8667,70.09,91,100,0.85,CD,1650939144
Bredasdorp,-34.5322,20.0403,52.29,83,4,3.33,ZA,1650939144
Puerto Ayora,-0.7393,-90.3518,71.35,92,91,6.06,EC,1650939145
Butaritari,3.0707,172.7902,80.49,83,26,12.55,KI,1650939145
Jasper,37.2001,-94.3502,53.65,64,0,0,US,1650939145
Yellowknife,62.456,-114.3525,38.16,90,100,10.65,CA,1650938913
Nichinan,31.6,131.3667,77.34,79,100,15.79,JP,1650939146
Anchorage,61.2181,-149.9003,56.28,58,0,12.66,US,1650938889
Cherskiy,68.75,161.3,30.29,72,100,4.47,RU,1650939146
East London,-33.0153,27.9116,59.07,74,1,10.54,ZA,1650939146
Vestmanna,62.1564,-7.1664,36.52,75,100,1.14,FO,1650939147
Souillac,-20.5167,57.5167,75.58,83,75,11.5,MU,1650938963
Xapuri,-10.6517,-68.5044,74.61,94,100,1.14,BR,1650939147
Margate,51.3813,1.3862,47.7,78,28,7,GB,1650939147
Vestmannaeyjar,63.4427,-20.2734,44.98,85,92,9.37,IS,1650939148
Urengoy,65.9667,78.3667,14.63,93,77,7.76,RU,1650939148
Provideniya,64.3833,-173.3,28.51,74,75,20.13,RU,1650939126
Sibolga,1.7427,98.7792,77.52,94,100,5.68,ID,1650939148
Barrow,71.2906,-156.7887,15.82,73,40,12.66,US,1650938952
Hilo,19.7297,-155.09,79.29,79,100,5.75,US,1650938851
Le Vauclin,14.5452,-60.8388,77.85,88,100,4.61,MQ,1650939149
Alekseyevka,50.6309,38.6903,52.57,73,10,4.23,RU,1650939149
Thompson,55.7435,-97.8558,17.31,90,100,2.8,CA,1650939150
Half Moon Bay,37.4636,-122.4286,67.41,75,75,27.63,US,1650939150
Lorengau,-2.0226,147.2712,83.59,74,14,8.34,PG,1650939037
Upernavik,72.7868,-56.1549,10.42,90,53,4.59,GL,1650939013
Mahanoro,-19.9,48.8,70.81,88,44,2.55,MG,1650939150
Grand Gaube,-20.0064,57.6608,75.6,71,57,20.31,MU,1650939033
Fortuna,40.5982,-124.1573,56.08,80,100,4,US,1650939151
Portland,45.5234,-122.6762,57.52,75,100,6.91,US,1650939104
Jiangyou,31.7667,104.7167,76.51,52,17,4.94,CN,1650939151
Hofn,64.2539,-15.2082,39.27,96,100,6.44,IS,1650938977
Centralia,46.7162,-122.9543,54.34,68,100,5.75,US,1650938583
Vao,-22.6667,167.4833,74.86,57,100,18.52,NC,1650938973
Hermanus,-34.4187,19.2345,55.31,76,1,5.84,ZA,1650938883
Sun Valley,39.5963,-119.776,65.08,28,40,16.11,US,1650939152
Cidreira,-30.1811,-50.2056,67.8,94,100,16.06,BR,1650939113
Yangi Marg`ilon,40.4272,71.7189,61.52,67,100,4.61,UZ,1650938990
Korem,12.5058,39.5228,54.54,76,62,2.62,ET,1650939152
Korla,41.7597,86.1469,63.52,14,100,8.48,CN,1650939153
Zaraza,9.3503,-65.3245,78.67,78,76,8.88,VE,1650939153
Amahai,-3.3333,128.9167,84.56,71,60,3.11,ID,1650939153
Bambous Virieux,-20.3428,57.7575,75.45,83,75,11.5,MU,1650938875
Lafia,8.4833,8.5167,78.4,70,100,3.22,NG,1650939154
Dekar,-21.5333,21.9333,60.08,61,0,8.41,BW,1650939154
Leningradskiy,69.3833,178.4167,21.69,89,89,13.87,RU,1650939154
Rome,34.257,-85.1647,72.01,84,0,3.44,US,1650939069
Hong Kong,22.2855,114.1577,84.96,84,1,7,HK,1650939004
Kruisfontein,-34.0033,24.7314,48.88,84,0,7.25,ZA,1650939056
Ribeira Grande,38.5167,-28.7,58.89,70,71,6.93,PT,1650938955
Torbay,47.6666,-52.7314,37.89,96,100,14,CA,1650938937
São Miguel do Araguaia,-13.275,-50.1628,75.15,64,6,2.06,BR,1650939155
Quatre Cocos,-20.2078,57.7625,75.31,74,44,16.17,MU,1650939057
Kailua,21.4022,-157.7394,80.58,72,20,12.66,US,1650939155
Ilulissat,69.2167,-51.1,19.42,93,100,0,GL,1650938885
Atuona,-9.8,-139.0333,78.8,78,24,16.51,PF,1650939156
Clyde River,70.4692,-68.5914,8.83,92,100,19.57,CA,1650939156
Sorong,-0.8833,131.25,82.42,79,100,5.75,ID,1650939157
Qaanaaq,77.484,-69.3632,6.21,62,21,7.49,GL,1650939075
High Level,58.5169,-117.136,47.17,86,74,10.45,CA,1650939024
Porto Santo,33.072,-16.3415,61.18,77,40,10.36,PT,1650939157
Vaini,-21.2,-175.2,71.76,88,100,12.66,TO,1650938977
Lapeer,43.0514,-83.3188,50.95,57,100,9.22,US,1650939157
Lander,42.833,-108.7307,49.98,47,0,3.44,US,1650939158
Praia,14.9215,-23.5087,73.94,56,0,24.16,CV,1650939158
Kysyl-Syr,63.8986,122.7617,29.1,80,90,4.41,RU,1650939158
Cape Town,-33.9258,18.4232,60.91,72,71,14,ZA,1650939159
Castro,-24.7911,-50.0119,59.05,88,6,2.98,BR,1650938987
Gambēla,8.25,34.5833,71.76,84,100,2.55,ET,1650939159
Lashio,22.9333,97.75,83.86,30,1,2.82,MM,1650939153
Mataura,-46.1927,168.8643,52.48,72,67,9.17,NZ,1650939159
Sapele,5.8941,5.6767,77.25,94,100,3.49,NG,1650939160
Kalmunai,7.4167,81.8167,81.81,77,66,2.71,LK,1650939160
Hamilton,39.1834,-84.5333,60.24,77,100,6.91,US,1650938934
Stolbishche,55.6468,49.216,48.65,75,40,11.18,RU,1650939160
Ouallam,14.3188,2.0866,81.97,14,38,10.67,NE,1650939161
New Norfolk,-42.7826,147.0587,61.88,57,5,1.9,AU,1650939161
Chirongui,-12.9319,45.1483,78.73,73,17,7.47,YT,1650939161
Araioses,-2.89,-41.9031,76.21,93,99,7.29,BR,1650939161
Vasil'sursk,56.1275,46.0072,49.73,90,100,7.31,RU,1650939162
Russell,32.3502,-85.1999,74.8,94,100,0,US,1650939162
Syedove,47.0768,38.156,56.48,83,96,6.53,UA,1650939162
Paragominas,-2.9667,-47.4833,72.23,98,79,3.02,BR,1650939163
Nikolskoye,59.7035,30.7861,41.72,98,100,4.47,RU,1650939135
Geraldton,-28.7667,114.6,72.01,56,100,9.22,AU,1650939163
São Félix do Xingu,-6.6447,-51.995,71.67,93,14,1.57,BR,1650939163
Suaita,6.1014,-73.4404,58.08,96,99,2.3,CO,1650939164
Søgne,58.0833,7.8167,43.7,62,14,4.34,NO,1650939164
Tilichiki,60.4667,166.1,30.31,92,100,12.48,RU,1650939164
Varginha,-21.5514,-45.4303,62.92,89,1,3.83,BR,1650939164
Saint-Philippe,-21.3585,55.7679,71.19,75,36,10.92,RE,1650938998
Narón,43.5167,-8.1528,57.02,77,77,4.32,ES,1650938888
Biak,-0.9131,122.8766,82.99,72,19,3.02,ID,1650939165
Mitsamiouli,-11.3847,43.2844,80.96,78,30,8.68,KM,1650939165
Farafangana,-22.8167,47.8333,70.3,89,52,5.3,MG,1650939165
Arraial do Cabo,-22.9661,-42.0278,74.84,82,0,14.36,BR,1650939139
Canguçu,-31.395,-52.6756,64.99,94,100,8.7,BR,1650939166
Beni Mazar,28.4962,30.8029,70.63,34,61,13.49,EG,1650939166
Gushi,34.6425,109.5843,81.45,30,74,2.98,CN,1650939167
Kavaratti,10.5669,72.642,84.92,73,21,6.69,IN,1650938934
Avera,33.194,-82.5271,69.31,78,0,4.41,US,1650939167
Saskylakh,71.9167,114.0833,11.88,92,72,1.86,RU,1650939137
Egvekinot,66.3167,-179.1667,23.94,76,53,7.83,RU,1650939167
Gijang,35.2442,129.2139,69.53,96,100,15.14,KR,1650939168
Zhigansk,66.7697,123.3711,19.92,84,83,3.83,RU,1650939090
Beaverlodge,55.2166,-119.4361,45.3,74,65,9.04,CA,1650939168
Cornwall,45.0181,-74.7281,69.04,48,20,11.5,CA,1650938997
Teknāf,20.8624,92.3058,85.12,72,45,4.27,BD,1650939115
Agadez,19.75,10.25,81.86,8,0,7.63,NE,1650939169
Saint Paul Harbor,57.79,-152.4072,45.91,66,75,6.91,US,1650939169
Port Montt,-41.4698,-72.9447,49.03,100,100,9.22,CL,1650939169
Mumford,5.2618,-0.759,80.13,84,84,2.86,GH,1650939169
Avarua,-21.2078,-159.775,82.45,78,75,5.75,CK,1650939170
Mogadishu,2.0371,45.3438,82.11,72,30,7.2,SO,1650938945
Khasan,42.4308,130.6434,51.24,79,46,7.56,RU,1650939170
San Miguel de Cozumel,20.5083,-86.9458,79,82,40,9.22,MX,1650939170
Santa Maria,-29.6842,-53.8069,68.67,98,98,8.37,BR,1650939171
Constitución,-35.3333,-72.4167,55.65,85,100,13.31,CL,1650939056
Dingle,10.9995,122.6711,87.35,65,100,10.27,PH,1650939043
Arrondissement de Moulins,46.5,3.3333,45.59,99,96,2.26,FR,1650939171
Santa Rosalía,27.3167,-112.2833,71.19,33,0,1.88,MX,1650939172
Mtwara,-10.2667,40.1833,75.52,93,80,6.71,TZ,1650939172
Karratha,-20.7377,116.8463,83.41,38,97,8.66,AU,1650939072
Iringa,-7.7667,35.7,57.94,94,83,4.72,TZ,1650939172
Nanpiao,41.0982,120.7479,63.84,18,1,20.96,CN,1650939173
Vila Franca do Campo,37.7167,-25.4333,59.2,85,83,5.77,PT,1650938992
Isangel,-19.55,169.2667,79.23,62,100,17.34,VU,1650939173
Gazimurskiy Zavod,51.5461,118.3266,41.14,42,95,7.47,RU,1650939173
Hailey,43.5196,-114.3153,53.46,31,0,5.01,US,1650939173
Şırnak,37.5228,42.4594,52.52,74,96,2.28,TR,1650939174
Werda,-25.2667,23.2833,54.64,29,0,7.63,BW,1650939174
Turan,16.0678,108.2208,87.78,66,20,3.44,VN,1650939054
Nortelândia,-14.4547,-56.8028,77.54,67,13,3.44,BR,1650939174
Gushikawa,26.3544,127.8686,81.99,80,100,18.41,JP,1650939175
Lata,40.1629,-8.3327,51.08,82,96,2.46,PT,1650939175
Verāval,20.9,70.3667,81.28,68,0,13.94,IN,1650939175
Dumas,35.8656,-101.9732,51.94,28,0,8.05,US,1650938971
Carnarvon,-24.8667,113.6333,75.27,78,40,9.22,AU,1650939176
Jiuquan,39.7432,98.5174,53.65,13,49,6.29,CN,1650939176
Yerofey Pavlovich,53.9667,121.9667,41.97,28,100,10.11,RU,1650939176
Byron Bay,-28.65,153.6167,70.95,73,100,6.13,AU,1650939177
Coyhaique,-45.5752,-72.0662,38.01,93,20,0,CL,1650938939
Lages,-27.8161,-50.3261,56.77,96,90,3.11,BR,1650939177
Laas,46.6166,10.7002,42.69,97,97,1.92,IT,1650939177
Severo-Kuril'sk,50.6789,156.125,33.57,97,94,27.89,RU,1650939178
Koslan,63.4564,48.8989,36.86,95,100,9.84,RU,1650939178
San Cristobal,7.7669,-72.225,69.98,90,100,1.05,VE,1650939178
Lismore,-28.8135,153.2773,71.69,81,100,0.89,AU,1650939178
Maceió,-9.6658,-35.7353,76.44,88,40,3.44,BR,1650939128
Teya,60.3778,92.6267,32.56,79,94,7.87,RU,1650939179
Tailai,46.3833,123.4,52.68,30,55,19.86,CN,1650939179
Mar del Plata,-38.0023,-57.5575,60.87,76,6,10,AR,1650939063
Mahon,39.8885,4.2658,52.36,100,0,2.3,ES,1650939073
Praia da Vitória,38.7333,-27.0667,56.75,82,65,6.26,PT,1650939180
Muhafazat Lahij,13.1667,44.5833,74.98,85,46,4.79,YE,1650939180
Tezu,27.9167,96.1667,78.4,48,48,1.28,IN,1650939180
Iturama,-19.7281,-50.1956,74.8,54,14,5.64,BR,1650939181
Sanming,26.2486,117.6186,84.92,65,13,7.83,CN,1650939181
Safi,32.2994,-9.2372,59.11,78,100,7.16,MA,1650939056
Tuatapere,-46.1333,167.6833,56.01,66,47,9.08,NZ,1650939182
Nanortalik,60.1432,-45.2371,32.5,97,94,5.28,GL,1650939182
San Jose,37.3394,-121.895,68.92,51,75,18.41,US,1650938976
Sittwe,20.15,92.9,84.67,71,20,6.62,MM,1650939182
Cabo San Lucas,22.8909,-109.9124,79.11,44,0,5.75,MX,1650939183
Berlevåg,70.8578,29.0864,21,76,99,30.36,NO,1650939183
Kilindoni,-7.9139,39.6668,79.93,83,53,10.04,TZ,1650939184
Norman Wells,65.282,-126.8329,36.77,93,100,5.99,CA,1650939042
Tiznit Province,29.5833,-9.5,53.51,87,93,6.06,MA,1650939184
Novosheshminsk,55.0651,51.2338,49.26,87,100,7.99,RU,1650939185
Antalaha,-14.9003,50.2788,73.22,83,100,4.41,MG,1650939185
Fairbanks,64.8378,-147.7164,52.14,36,0,4.61,US,1650938977
Pangkalanbuun,-2.6833,111.6167,78.69,88,98,3.29,ID,1650939178
Bethel,41.3712,-73.414,53.69,46,100,5.75,US,1650939186
Harindānga,22.0383,88.3214,87.37,69,3,12.15,IN,1650939186
Vostok,46.4856,135.8833,57.25,54,94,4.18,RU,1650939186
Bonavista,48.6499,-53.1147,35.62,93,100,13.06,CA,1650938984
Hithadhoo,-0.6,73.0833,84.4,72,100,6.2,MV,1650939187
Esperance,-33.8667,121.9,70.75,59,56,16.42,AU,1650939187
Jati,24.3539,68.2671,81.09,72,0,12.53,PK,1650939188
Porto Nacional,-10.7081,-48.4172,75.2,76,11,1.54,BR,1650939188
Roald,62.5833,6.1333,44.76,70,100,11.5,NO,1650939188
Broome,42.2506,-75.833,58.37,70,0,12.66,US,1650939050
Glace Bay,46.1969,-59.957,42.89,94,9,1.01,CA,1650938898
Luganville,-15.5333,167.1667,81.84,72,100,8.52,VU,1650939189
Luanda,-8.8368,13.2343,75.2,88,20,8.05,AO,1650939190
Pevek,69.7008,170.3133,29.82,70,100,4.14,RU,1650939132
Vung Tau,10.346,107.0843,83.97,73,62,4.79,VN,1650939190
Chachapoyas,-6.2317,-77.869,51.21,95,83,1.99,PE,1650939190
Gunjur,13.2019,-16.7339,78.87,53,0,13.8,GM,1650939191
Pisco,-13.7,-76.2167,68.05,77,0,8.05,PE,1650939191
Hasaki,35.7333,140.8333,73.29,86,100,15.75,JP,1650939191
Tuktoyaktuk,69.4541,-133.0374,31.69,94,94,6.53,CA,1650939192
Kahului,20.8947,-156.47,80.62,69,40,25.32,US,1650939192
Santa Ana,33.7456,-117.8678,83.61,20,75,6.91,US,1650939168
Haimen,23.1935,116.6142,82.18,71,1,9.71,CN,1650939193
Chillán,-36.6066,-72.1034,52.12,93,100,12.66,CL,1650939193
Puerto del Rosario,28.5004,-13.8627,67.75,77,40,9.22,ES,1650939193
Agía Paraskeví,40.4833,23.05,63.72,73,14,6.11,GR,1650939194
Macusani,-14.0833,-70.4333,35.13,88,98,1.03,PE,1650939194
Kaitangata,-46.2817,169.8464,56.05,66,94,15.21,NZ,1650939194
Saint-François,46.4154,3.9054,49.44,93,100,0,FR,1650939195
Palmerston,-12.486,130.9833,91.89,61,20,5.75,AU,1650939195
Salina,38.8403,-97.6114,52.02,31,0,5.75,US,1650939034
Sangar,63.9242,127.4739,26.31,77,97,7.67,RU,1650939195
Longyearbyen,78.2186,15.6401,-13.67,94,50,2.75,SJ,1650939193
Northam,51.0333,-4.2167,45.66,79,25,7.14,GB,1650939196
Chui,-33.6971,-53.4616,64.98,99,68,1.57,UY,1650939196
Blackfoot,43.1905,-112.345,56.21,46,100,6.58,US,1650939064
Humberto de Campos,-2.5983,-43.4611,75.11,95,98,4.25,BR,1650939197
Laredo,27.5064,-99.5075,71.89,83,100,24.16,US,1650939189
Damāvand,35.7178,52.065,57.67,56,100,2.66,IR,1650939197
Bud,39.447,-86.1758,54.46,75,99,10.63,US,1650939197
Aripuanã,-9.1667,-60.6333,74.86,81,18,1.99,BR,1650938935
Paris,48.8534,2.3488,47.14,86,0,8.05,FR,1650938885
Kuchinarai,16.541,104.05,93.38,47,8,10.8,TH,1650939198
Raudeberg,61.9875,5.1352,43.47,78,8,25.64,NO,1650939198
Cuautepec,16.7,-99,78.12,67,15,2.91,MX,1650939198
Poum,-20.2333,164.0167,77.47,62,99,11.7,NC,1650939199
Mount Isa,-20.7333,139.5,74.97,88,100,8.05,AU,1650939199
Semporna,4.4818,118.6112,83.53,75,96,1.39,MY,1650939199
Dudinka,69.4058,86.1778,6.62,92,100,8.7,RU,1650939200
Vardø,70.3705,31.1107,25.34,68,60,31.74,NO,1650938974
Guerrero Negro,27.9769,-114.0611,67.21,55,0,14.32,MX,1650939200
São João da Barra,-21.6403,-41.0511,73.13,83,2,3.91,BR,1650939200
Norwich,52.6278,1.2983,42.93,91,5,2.3,GB,1650939201
Talnakh,69.4865,88.3972,6.21,94,100,7.61,RU,1650939110
San Patricio,28.017,-97.5169,78.66,89,100,10.89,US,1650938987
Abu Kamal,34.4506,40.9171,71.33,39,75,5.3,SY,1650939201
Turukhansk,65.8167,87.9833,18.48,85,18,4.94,RU,1650939201
Road Town,18.4167,-64.6167,75.29,70,7,13.49,VG,1650939071
